上市编号,上市公司名,违纪类型,红头文件
600982,宁波能源,监管工作函,NO SUCH FILE!
605009,豪悦护理,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/b6bbcd74-fc54-4993-a31e-ed8a7ace9d5e.pdf
600249,两面针,监管工作函,NO SUCH FILE!
603056,德邦股份,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/bd112ddd-7299-4cd1-adf0-05454bd90e60.pdf
603900,莱绅通灵,监管工作函,NO SUCH FILE!
600466,蓝光发展,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/fb2b0dfc-d885-417e-920a-3c68d3d2852e.pdf
600466,蓝光发展,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/2ee43cd1-6013-4d6b-9a8b-5b12ae8c7824.pdf
603959,百利科技,监管工作函,NO SUCH FILE!
603690,至纯科技,监管工作函,NO SUCH FILE!
600146,*ST环球,监管工作函,NO SUCH FILE!
600614,退市鹏起,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/d9f7e8d2-f901-4f13-a778-6cf3bedac33e.pdf
600614,退市鹏起,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/d9f7e8d2-f901-4f13-a778-6cf3bedac33e.pdf
688385,复旦微电,监管工作函,NO SUCH FILE!
603538,美诺华,监管工作函,NO SUCH FILE!
601360,三六零,监管工作函,NO SUCH FILE!
603398,沐邦高科,监管工作函,NO SUCH FILE!
603345,安井食品,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/e4f37f53-adf0-4773-8efd-82daef952379.pdf
603042,华脉科技,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/9dc48cba-daf4-41a7-b0d3-87af7c8eda70.pdf
603042,华脉科技,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/9dc48cba-daf4-41a7-b0d3-87af7c8eda70.pdf
603650,彤程新材,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/9c6e03c9-7d2e-4be1-a841-582640ec92ef.pdf
600847,万里股份,监管工作函,NO SUCH FILE!
603322,超讯通信,监管工作函,NO SUCH FILE!
603501,韦尔股份,监管工作函,NO SUCH FILE!
600318,新力金融,监管工作函,NO SUCH FILE!
600131,国网信通,监管工作函,NO SUCH FILE!
688560,明冠新材,监管工作函,NO SUCH FILE!
600267,海正药业,监管工作函,NO SUCH FILE!
600242,ST中昌,监管工作函,NO SUCH FILE!
605111,新洁能,监管工作函,NO SUCH FILE!
600593,*ST圣亚,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/c44a8516-cf03-4870-89df-bd2420413b61.pdf
600593,*ST圣亚,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/c44a8516-cf03-4870-89df-bd2420413b61.pdf
601599,浙文影业,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/d9eddec9-44f5-4e32-8301-b5d18fdce226.pdf
600734,*ST实达,监管工作函,NO SUCH FILE!
600146,*ST环球,监管工作函,NO SUCH FILE!
600276,恒瑞医药,监管工作函,NO SUCH FILE!
600467,好当家,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/d4ee07a0-d2a0-41d7-b149-7591db615ffe.pdf
603990,麦迪科技,监管工作函,NO SUCH FILE!
600365,ST通葡,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/05d4f193-92d7-48ac-91c3-b6d1a05e130b.pdf
600281,华阳新材,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/88a8bb75-9716-42b3-be74-db5f4dcdef51.pdf
603559,中通国脉,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/1c77f785-66cb-4fb1-b941-461c894fdab4.pdf
603559,中通国脉,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/2779bea2-7f72-4428-b66c-f9b9d3cb32e4.pdf
603517,绝味食品,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/cc7dea44-b4ab-477c-aedf-0285e169b28a.pdf
